date,post_count,post_count_diff,prob_epidemic
2016-09-02,1,,
2016-09-03,1,0.0,
2016-09-04,0,-1.0,
2016-09-05,6,6.0,
2016-09-06,3,-3.0,
2016-09-07,2,-1.0,
2016-09-08,8,6.0,
2016-09-09,3,-5.0,
2016-09-10,3,0.0,
2016-09-11,2,-1.0,
2016-09-12,5,3.0,
2016-09-13,4,-1.0,
2016-09-14,3,-1.0,
2016-09-15,1,-2.0,
2016-09-16,2,1.0,
2016-09-17,2,0.0,
2016-09-18,0,-2.0,
2016-09-19,1,1.0,
2016-09-20,3,2.0,
2016-09-21,1,-2.0,
2016-09-22,2,1.0,
2016-09-23,2,0.0,
2016-09-24,0,-2.0,
2016-09-25,2,2.0,
2016-09-26,0,-2.0,
2016-09-27,1,1.0,
2016-09-28,0,-1.0,
2016-09-29,1,1.0,
2016-09-30,2,1.0,
2016-10-01,0,-2.0,
2016-10-02,0,0.0,
2016-10-03,3,3.0,
2016-10-04,2,-1.0,
2016-10-05,5,3.0,
2016-10-06,5,0.0,
2016-10-07,2,-3.0,
2016-10-08,0,-2.0,
2016-10-09,0,0.0,
2016-10-10,1,1.0,
2016-10-11,4,3.0,
2016-10-12,6,2.0,
2016-10-13,4,-2.0,
2016-10-14,6,2.0,
2016-10-15,1,-5.0,
2016-10-16,3,2.0,
2016-10-17,4,1.0,
2016-10-18,7,3.0,
2016-10-19,3,-4.0,
2016-10-20,23,20.0,
2016-10-21,8,-15.0,
2016-10-22,4,-4.0,0.8166499283961575
2016-10-23,1,-3.0,
2016-10-24,7,6.0,
2016-10-25,8,1.0,
2016-10-26,10,2.0,
2016-10-27,8,-2.0,0.020057308324394268
2016-10-28,8,0.0,
2016-10-29,1,-7.0,
2016-10-30,1,0.0,
2016-10-31,5,4.0,
2016-11-01,3,-2.0,0.014924785532093695
2016-11-02,4,1.0,
2016-11-03,5,1.0,
2016-11-04,2,-3.0,
2016-11-05,2,0.0,
2016-11-06,0,-2.0,0.008041641336546673
2016-11-07,3,3.0,
2016-11-08,3,0.0,
2016-11-09,8,5.0,
2016-11-10,6,-2.0,
2016-11-11,5,-1.0,0.007167668213515235
2016-11-12,1,-4.0,
2016-11-13,0,-1.0,
2016-11-14,2,2.0,
2016-11-15,6,4.0,
2016-11-16,6,0.0,0.00724977451170246
2016-11-17,9,3.0,
2016-11-18,8,-1.0,
2016-11-19,2,-6.0,
2016-11-20,1,-1.0,
2016-11-21,7,6.0,0.05060342766602658
2016-11-22,7,0.0,
2016-11-23,6,-1.0,
2016-11-24,1,-5.0,
2016-11-25,3,2.0,
2016-11-26,1,-2.0,0.00834857993488202
2016-11-27,2,1.0,
2016-11-28,2,0.0,
2016-11-29,10,8.0,
2016-11-30,7,-3.0,
2016-12-01,10,3.0,0.017279851427496228
2016-12-02,1,-9.0,
2016-12-03,2,1.0,
2016-12-04,1,-1.0,
2016-12-05,3,2.0,
2016-12-06,18,15.0,0.9988044525410339
2016-12-07,9,-9.0,
2016-12-08,22,13.0,
2016-12-09,10,-12.0,
2016-12-10,3,-7.0,
2016-12-11,9,6.0,0.9998795174790082
2016-12-12,13,4.0,
2016-12-13,18,5.0,
2016-12-14,14,-4.0,
2016-12-15,6,-8.0,
2016-12-16,12,6.0,0.9683695666406492
2016-12-17,2,-10.0,
2016-12-18,2,0.0,
2016-12-19,4,2.0,
2016-12-20,7,3.0,
2016-12-21,9,2.0,0.29469604806412136
2016-12-22,13,4.0,
2016-12-23,11,-2.0,
2016-12-24,5,-6.0,
2016-12-25,4,-1.0,
2016-12-26,3,-1.0,0.06825344381412086
2016-12-27,12,9.0,
2016-12-28,18,6.0,
2016-12-29,8,-10.0,
2016-12-30,9,1.0,
2016-12-31,6,-3.0,0.7303536657190745
2017-01-01,9,3.0,
2017-01-02,7,-2.0,
2017-01-03,13,6.0,
2017-01-04,11,-2.0,
2017-01-05,16,5.0,0.10507238708678035
2017-01-06,15,-1.0,
2017-01-07,5,-10.0,
2017-01-08,2,-3.0,
2017-01-09,6,4.0,
2017-01-10,9,3.0,0.46572165685328965
2017-01-11,7,-2.0,
2017-01-12,17,10.0,
2017-01-13,9,-8.0,
2017-01-14,4,-5.0,
2017-01-15,4,0.0,0.7881229073477249
2017-01-16,7,3.0,
2017-01-17,9,2.0,
2017-01-18,12,3.0,
2017-01-19,10,-2.0,
2017-01-20,8,-2.0,0.6627483685986213
2017-01-21,0,-8.0,
2017-01-22,6,6.0,
2017-01-23,6,0.0,
2017-01-24,7,1.0,
2017-01-25,2,-5.0,0.9999999999999997
2017-01-26,6,4.0,
2017-01-27,6,0.0,
2017-01-28,0,-6.0,
2017-01-29,1,1.0,
2017-01-30,5,4.0,0.36305485342692956
2017-01-31,20,15.0,
2017-02-01,17,-3.0,
2017-02-02,10,-7.0,
2017-02-03,9,-1.0,
2017-02-04,14,5.0,0.9965656543656654
2017-02-05,8,-6.0,
2017-02-06,15,7.0,
2017-02-07,19,4.0,
2017-02-08,15,-4.0,
2017-02-09,16,1.0,0.7516984009809634
2017-02-10,10,-6.0,
2017-02-11,5,-5.0,
2017-02-12,7,2.0,
2017-02-13,4,-3.0,
2017-02-14,11,7.0,0.9887145771188509
2017-02-15,8,-3.0,
2017-02-16,6,-2.0,
2017-02-17,15,9.0,
2017-02-18,7,-8.0,
2017-02-19,10,3.0,0.9644917466239508
2017-02-20,8,-2.0,
2017-02-21,25,17.0,
2017-02-22,30,5.0,
2017-02-23,30,0.0,
2017-02-24,11,-19.0,0.9906521379208807
2017-02-25,10,-1.0,
2017-02-26,15,5.0,
2017-02-27,18,3.0,
2017-02-28,30,12.0,
2017-03-01,12,-18.0,0.9954208367987294
2017-03-02,26,14.0,
2017-03-03,29,3.0,
2017-03-04,13,-16.0,
2017-03-05,10,-3.0,
2017-03-06,17,7.0,0.48107282008552654
2017-03-07,16,-1.0,
2017-03-08,12,-4.0,
2017-03-09,19,7.0,
2017-03-10,10,-9.0,
2017-03-11,14,4.0,0.35893464412095893
2017-03-12,6,-8.0,
2017-03-13,14,8.0,
2017-03-14,13,-1.0,
2017-03-15,5,-8.0,
2017-03-16,15,10.0,0.13120692717205715
2017-03-17,13,-2.0,
2017-03-18,3,-10.0,
2017-03-19,2,-1.0,
2017-03-20,15,13.0,
2017-03-21,8,-7.0,0.2866335985922323
2017-03-22,3,-5.0,
2017-03-23,11,8.0,
2017-03-24,5,-6.0,
2017-03-25,3,-2.0,
2017-03-26,6,3.0,0.9481647917776905
2017-03-27,4,-2.0,
2017-03-28,13,9.0,
2017-03-29,7,-6.0,
2017-03-30,8,1.0,
2017-03-31,9,1.0,0.5638013325712955
2017-04-01,4,-5.0,
2017-04-02,9,5.0,
2017-04-03,11,2.0,
2017-04-04,12,1.0,
2017-04-05,11,-1.0,0.492336918999641
2017-04-06,26,15.0,
2017-04-07,13,-13.0,
