window_end,a_post_count,a_post_upvotes,a_first_time_post_count,a_comment_count,a_comment_upvotes,a_first_time_comment_count,b_post_count,b_post_upvotes,b_first_time_post_count,b_comment_count,b_comment_upvotes,b_first_time_comment_count
2016-12-11,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-12,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-13,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-14,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-15,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-16,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-17,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-18,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-19,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-20,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-21,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-22,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-23,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-24,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-25,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-26,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-27,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-28,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-29,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-30,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2016-12-31,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2017-01-01,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2017-01-02,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2017-01-03,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2017-01-04,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2017-01-05,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2017-01-06,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2017-01-07,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2017-01-08,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2017-01-09,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2017-01-10,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2017-01-11,2.00,12.00,0.60,23.40,52.00,2.60,20.00,120.00,6.00,234.00,520.00,26.00
2017-01-12,2.00,12.00,0.60,23.40,58.50,2.60,20.00,120.00,6.00,234.00,585.00,26.00
2017-01-13,2.00,12.00,0.60,23.40,60.10,2.60,20.00,120.00,6.00,234.00,601.00,26.00
2017-01-14,2.00,12.00,0.60,23.40,60.10,2.60,20.00,120.00,6.00,234.00,601.00,26.00
2017-01-15,2.00,12.00,0.60,23.40,60.10,2.60,20.00,120.00,6.00,234.00,601.00,26.00
2017-01-16,2.00,12.00,0.60,23.40,60.10,2.60,20.00,120.00,6.00,234.00,601.00,26.00
2017-01-17,2.00,12.00,0.60,23.40,60.10,2.60,20.00,120.00,6.00,234.00,601.00,26.00
2017-01-18,2.00,12.00,0.60,23.40,60.10,2.60,20.00,120.00,6.00,234.00,601.00,26.00
2017-01-19,2.00,12.00,0.60,23.40,60.10,2.60,20.00,120.00,6.00,234.00,601.00,26.00
2017-01-20,2.00,12.00,0.60,23.40,60.10,2.60,20.00,120.00,6.00,234.00,601.00,26.00
2017-01-21,2.00,12.00,0.60,23.40,60.10,2.60,20.00,120.00,6.00,234.00,601.00,26.00
2017-01-22,2.00,12.00,0.60,23.40,60.10,2.60,20.00,120.00,6.00,234.00,601.00,26.00
2017-01-23,2.00,12.00,0.60,23.40,60.10,2.60,20.00,120.00,6.00,234.00,601.00,26.00
2017-01-24,2.00,12.00,0.60,23.40,60.10,2.60,20.00,120.00,6.00,234.00,601.00,26.00
2017-01-25,2.00,12.00,0.60,23.40,60.10,2.60,20.00,120.00,6.00,234.00,601.00,26.00
2017-01-26,2.00,12.00,0.60,23.40,60.10,2.60,20.00,120.00,6.00,234.00,601.00,26.00
2017-01-27,2.00,12.00,0.60,23.40,60.10,2.60,20.00,120.00,6.00,234.00,601.00,26.00
2017-01-28,1.50,10.60,0.60,20.60,60.10,2.60,15.00,106.00,6.00,206.00,601.00,26.00
2017-01-29,1.50,10.60,0.60,20.60,60.10,2.10,15.00,106.00,6.00,206.00,601.00,21.00
2017-01-30,1.50,10.60,0.60,20.60,60.10,2.10,15.00,106.00,6.00,206.00,601.00,21.00
2017-01-31,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-01,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-02,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-03,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-04,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-05,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-06,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-07,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-08,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-09,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-10,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-11,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-12,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-13,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-14,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-15,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-16,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-17,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-18,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-19,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-20,1.50,15.40,0.60,20.80,61.80,2.10,15.00,154.00,6.00,208.00,618.00,21.00
2017-02-21,1.70,15.40,0.60,20.80,61.80,2.10,17.00,154.00,6.00,208.00,618.00,21.00
2017-02-22,1.70,15.40,0.60,20.80,61.80,2.10,17.00,154.00,6.00,208.00,618.00,21.00
2017-02-23,1.70,15.40,0.60,20.80,61.80,2.10,17.00,154.00,6.00,208.00,618.00,21.00
2017-02-24,1.90,15.40,0.70,23.70,63.40,2.10,19.00,154.00,7.00,237.00,634.00,21.00
2017-02-25,1.90,15.40,0.70,23.70,63.40,2.10,19.00,154.00,7.00,237.00,634.00,21.00
2017-02-26,1.90,15.40,0.70,23.70,63.40,2.10,19.00,154.00,7.00,237.00,634.00,21.00
2017-02-27,1.90,15.40,0.70,26.40,103.60,2.10,19.00,154.00,7.00,264.00,1036.00,21.00
2017-02-28,1.90,15.40,0.70,26.40,103.60,2.10,19.00,154.00,7.00,264.00,1036.00,21.00
2017-03-01,1.90,15.40,0.70,26.40,103.60,2.10,19.00,154.00,7.00,264.00,1036.00,21.00
2017-03-02,1.90,15.40,0.70,26.40,103.60,2.10,19.00,154.00,7.00,264.00,1036.00,21.00
2017-03-03,1.90,15.40,0.70,26.40,103.60,2.10,19.00,154.00,7.00,264.00,1036.00,21.00
2017-03-04,1.90,15.60,0.70,34.90,103.60,2.10,19.00,156.00,7.00,349.00,1036.00,21.00
2017-03-05,1.90,15.60,0.70,34.90,103.60,2.10,19.00,156.00,7.00,349.00,1036.00,21.00
2017-03-06,1.90,15.60,0.70,34.90,103.60,2.20,19.00,156.00,7.00,349.00,1036.00,22.00
2017-03-07,1.90,15.60,0.70,34.90,103.60,2.20,19.00,156.00,7.00,349.00,1036.00,22.00
2017-03-08,1.90,15.60,0.70,34.90,103.60,2.20,19.00,156.00,7.00,349.00,1036.00,22.00
2017-03-09,1.90,15.60,0.70,34.90,103.60,2.20,19.00,156.00,7.00,349.00,1036.00,22.00
2017-03-10,1.90,15.60,0.70,34.90,103.60,2.20,19.00,156.00,7.00,349.00,1036.00,22.00
2017-03-11,1.90,15.60,0.70,34.90,103.60,2.20,19.00,156.00,7.00,349.00,1036.00,22.00
2017-03-12,1.90,15.60,0.70,34.90,103.60,2.20,19.00,156.00,7.00,349.00,1036.00,22.00
2017-03-13,1.90,15.60,0.70,34.90,103.60,2.20,19.00,156.00,7.00,349.00,1036.00,22.00
2017-03-14,1.90,15.60,0.70,34.90,103.60,2.20,19.00,156.00,7.00,349.00,1036.00,22.00
2017-03-15,1.90,15.60,0.70,34.90,103.60,2.20,19.00,156.00,7.00,349.00,1036.00,22.00
2017-03-16,1.90,15.60,0.70,34.90,103.60,2.20,19.00,156.00,7.00,349.00,1036.00,22.00
2017-03-17,1.90,15.60,0.70,34.90,103.60,2.20,19.00,156.00,7.00,349.00,1036.00,22.00
2017-03-18,1.90,15.60,0.70,34.90,103.60,2.20,19.00,156.00,7.00,349.00,1036.00,22.00
2017-03-19,1.90,15.60,0.70,34.90,103.60,2.20,19.00,156.00,7.00,349.00,1036.00,22.00
2017-03-20,1.90,15.90,0.70,34.90,103.60,2.20,19.00,159.00,7.00,349.00,1036.00,22.00
2017-03-21,1.90,15.90,0.70,34.90,103.60,2.20,19.00,159.00,7.00,349.00,1036.00,22.00
2017-03-22,1.90,15.90,0.70,34.90,103.60,2.20,19.00,159.00,7.00,349.00,1036.00,22.00
2017-03-23,1.90,15.90,0.70,34.90,103.60,2.20,19.00,159.00,7.00,349.00,1036.00,22.00
2017-03-24,1.90,15.90,0.70,34.90,103.60,2.20,19.00,159.00,7.00,349.00,1036.00,22.00
2017-03-25,1.90,15.90,0.70,34.90,103.60,2.20,19.00,159.00,7.00,349.00,1036.00,22.00
2017-03-26,1.90,15.90,0.70,34.90,103.60,2.20,19.00,159.00,7.00,349.00,1036.00,22.00
2017-03-27,1.90,15.90,0.70,34.90,103.60,2.20,19.00,159.00,7.00,349.00,1036.00,22.00
2017-03-28,1.90,15.90,0.70,34.90,103.60,2.20,19.00,159.00,7.00,349.00,1036.00,22.00
2017-03-29,1.90,15.90,0.70,34.90,103.60,2.20,19.00,159.00,7.00,349.00,1036.00,22.00
2017-03-30,1.90,15.90,0.70,34.90,103.60,2.20,19.00,159.00,7.00,349.00,1036.00,22.00
2017-03-31,1.90,15.90,0.70,34.90,103.60,2.20,19.00,159.00,7.00,349.00,1036.00,22.00
2017-04-01,1.90,15.90,0.70,34.90,103.60,2.20,19.00,159.00,7.00,349.00,1036.00,22.00
2017-04-02,1.90,15.90,0.70,34.90,103.60,2.20,19.00,159.00,7.00,349.00,1036.00,22.00
2017-04-03,1.90,15.90,0.70,34.90,103.60,2.20,19.00,159.00,7.00,349.00,1036.00,22.00
2017-04-04,1.90,15.90,0.70,34.90,103.60,2.20,19.00,159.00,7.00,349.00,1036.00,22.00
2017-04-05,1.90,15.90,0.70,34.90,103.60,2.20,19.00,159.00,7.00,349.00,1036.00,22.00
2017-04-06,1.90,22.20,0.70,34.90,135.00,2.20,19.00,222.00,7.00,349.00,1350.00,22.00
2017-04-07,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-08,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-09,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-10,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-11,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-12,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-13,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-14,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-15,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-16,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-17,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-18,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-19,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-20,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-21,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-22,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-23,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-24,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-25,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-26,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
2017-04-27,1.90,29.20,0.70,34.90,135.00,2.20,19.00,292.00,7.00,349.00,1350.00,22.00
