window_end,a,b,σ0,σ1,pi0,pi1,α00,α01,α10,α11,rho
2016-12-11,2.000000,20.000000,10.411653,19.865178,0.500000,0.500000,0.004477,0.995523,0.581156,0.418844,-0.958831
2016-12-12,2.000000,20.000000,19.541069,19.932472,0.500000,0.500000,0.596107,0.403893,0.815291,0.184709,-0.721012
2016-12-13,2.000000,20.000000,8.190673,17.381701,0.500000,0.500000,0.993890,0.006110,0.073027,0.926973,-0.869897
2016-12-14,2.000000,20.000000,19.166715,19.995204,0.500000,0.500000,0.928613,0.071387,0.004800,0.995200,0.818641
2016-12-15,2.000000,20.000000,11.490601,17.198838,0.500000,0.500000,0.169353,0.830647,0.981040,0.018960,-0.222645
2016-12-16,2.000000,20.000000,12.783111,18.612323,0.500000,0.500000,0.991437,0.008563,0.000772,0.999228,0.630923
2016-12-17,2.000000,20.000000,16.102326,19.675743,0.500000,0.500000,0.964419,0.035581,0.522312,0.477688,0.459212
2016-12-18,2.000000,20.000000,17.604399,19.646980,0.500000,0.500000,0.346409,0.653591,0.528444,0.471556,-0.144918
2016-12-19,2.000000,20.000000,3.052520,9.748091,0.500000,0.500000,0.929843,0.070157,0.772189,0.227811,-0.542404
2016-12-20,2.000000,20.000000,7.275959,15.930731,0.500000,0.500000,0.041864,0.958136,0.691478,0.308522,0.792183
2016-12-21,2.000000,20.000000,8.829193,14.666062,0.500000,0.500000,0.000185,0.999815,0.220661,0.779339,-0.760269
2016-12-22,2.000000,20.000000,15.980583,19.626222,0.500000,0.500000,0.204070,0.795930,0.472639,0.527361,-0.926226
2016-12-23,2.000000,20.000000,16.180833,16.906128,0.500000,0.500000,0.080575,0.919425,0.903759,0.096241,-0.264434
2016-12-24,2.000000,20.000000,16.883939,18.906642,0.500000,0.500000,0.954389,0.045611,0.568011,0.431989,-0.966824
2016-12-25,2.000000,20.000000,12.592060,17.752142,0.500000,0.500000,0.978902,0.021098,0.099659,0.900341,0.849387
2016-12-26,2.000000,20.000000,18.108299,19.684050,0.500000,0.500000,0.870934,0.129066,0.222858,0.777142,-0.301581
2016-12-27,2.000000,20.000000,17.908361,19.946453,0.500000,0.500000,0.031341,0.968659,0.000230,0.999770,-0.797057
2016-12-28,2.000000,20.000000,13.964244,16.752009,0.500000,0.500000,0.090219,0.909781,0.652917,0.347083,0.492983
2016-12-29,2.000000,20.000000,14.195088,19.742465,0.500000,0.500000,0.541587,0.458413,0.285677,0.714323,0.153808
2016-12-30,2.000000,20.000000,10.908686,18.329457,0.500000,0.500000,0.034251,0.965749,0.001741,0.998259,0.856637
2016-12-31,2.000000,20.000000,12.636926,19.991616,0.500000,0.500000,0.878236,0.121764,0.915196,0.084804,0.872310
2017-01-01,2.000000,20.000000,17.616583,18.059174,0.500000,0.500000,0.792468,0.207532,0.883717,0.116283,0.620227
2017-01-02,2.000000,20.000000,19.351664,19.931626,0.500000,0.500000,0.873955,0.126045,0.058925,0.941075,0.156560
2017-01-03,2.000000,20.000000,7.420622,15.795783,0.500000,0.500000,0.002057,0.997943,0.110668,0.889332,0.044487
2017-01-04,2.000000,20.000000,15.906063,18.831202,0.500000,0.500000,0.418387,0.581613,0.281235,0.718765,0.590372
2017-01-05,2.000000,20.000000,12.421287,13.358013,0.500000,0.500000,0.743345,0.256655,0.449009,0.550991,-0.499514
2017-01-06,2.000000,20.000000,17.422555,19.375647,0.500000,0.500000,0.450922,0.549078,0.258474,0.741526,-0.288055
