window_end,σ0_mean,σ0_ci_lo,σ0_ci_hi,σ1_mean,σ1_ci_lo,σ1_ci_hi
2016-12-11,13.208973,3.958712,19.699423,18.297616,12.202930,19.991422
2016-12-12,13.215034,4.121403,19.735505,18.293963,12.086111,19.991117
2016-12-13,13.272711,3.999673,19.724133,18.315649,11.958718,19.991367
2016-12-14,13.203604,4.070302,19.696210,18.312197,12.426287,19.991913
2016-12-15,13.223354,3.985561,19.704260,18.280541,12.169402,19.991488
2016-12-16,13.255572,3.998209,19.726754,18.319619,12.336081,19.992639
2016-12-17,13.191482,3.994740,19.746436,18.317085,12.292574,19.991492
2016-12-18,13.272837,4.080453,19.721646,18.315346,12.239473,19.992703
2016-12-19,13.244596,4.063505,19.735883,18.283955,11.997540,19.992381
2016-12-20,13.248497,4.202958,19.719351,18.306198,12.314879,19.992066
2016-12-21,13.208166,4.015753,19.705850,18.288791,12.014269,19.991785
2016-12-22,13.136715,4.039536,19.712181,18.270202,12.260392,19.991188
2016-12-23,13.250686,4.008729,19.754702,18.315279,11.929245,19.992617
2016-12-24,13.262612,4.088799,19.709611,18.298901,12.171999,19.991368
2016-12-25,13.204928,4.061787,19.717265,18.305025,12.056365,19.990786
2016-12-26,13.282212,4.205342,19.721016,18.327537,12.259836,19.991304
2016-12-27,13.220452,4.055002,19.711003,18.272652,12.088521,19.990705
2016-12-28,13.322399,4.123690,19.732434,18.309470,11.845884,19.990599
2016-12-29,13.277634,4.136643,19.715839,18.301142,12.225684,19.991013
2016-12-30,13.306183,4.157672,19.721886,18.309860,12.094039,19.992435
2016-12-31,13.233188,3.947949,19.730114,18.307781,12.351267,19.990937
2017-01-01,13.250373,4.012349,19.717030,18.327456,12.238466,19.991640
2017-01-02,13.304531,4.150972,19.719905,18.325136,12.048416,19.991543
2017-01-03,13.246162,4.159996,19.744771,18.327847,12.045649,19.991585
2017-01-04,13.251819,4.149459,19.707446,18.333369,12.200628,19.991896
2017-01-05,13.207481,4.140607,19.738868,18.293747,11.990931,19.991090
2017-01-06,13.228037,4.057569,19.714248,18.290124,12.154597,19.991115
2017-01-07,13.257462,4.051665,19.705855,18.339123,12.571094,19.991374
2017-01-08,13.260508,4.043070,19.708659,18.289788,12.115984,19.990500
2017-01-09,13.260203,4.111528,19.727638,18.313811,12.246902,19.991796
2017-01-10,13.214784,3.972231,19.714598,18.314106,12.122995,19.990897
2017-01-11,13.167705,3.983484,19.718907,18.287100,12.014903,19.992107
2017-01-12,13.243177,4.102815,19.712886,18.292119,11.995231,19.990564
2017-01-13,13.170996,3.971788,19.695884,18.309591,12.292490,19.991654
2017-01-14,13.298945,4.146854,19.748227,18.329999,12.338385,19.992510
2017-01-15,13.191575,4.010746,19.706722,18.307600,12.159164,19.991547
2017-01-16,13.225817,4.059004,19.737790,18.301852,12.105019,19.993288
2017-01-17,13.282880,4.127507,19.728461,18.330196,12.261603,19.991412
2017-01-18,13.282010,4.179488,19.734140,18.308647,12.244817,19.991130
2017-01-19,13.250095,4.115365,19.710342,18.324116,12.209742,19.991195
2017-01-20,13.177027,4.124662,19.732991,18.292952,12.276185,19.992203
2017-01-21,13.219636,3.924530,19.718782,18.301362,12.149017,19.992375
2017-01-22,13.211042,4.026286,19.685173,18.294865,12.218772,19.990253
2017-01-23,13.230089,4.041638,19.689614,18.305625,12.296597,19.990756
2017-01-24,13.335102,4.188094,19.727061,18.324832,12.352794,19.992331
2017-01-25,13.238698,4.032705,19.708507,18.328548,12.132013,19.992126
2017-01-26,13.223503,4.058334,19.739316,18.316064,12.236971,19.992008
2017-01-27,13.209090,4.033891,19.752457,18.319513,12.193479,19.991447
2017-01-28,9.954081,3.113578,14.802375,13.754332,9.123000,14.994410
2017-01-29,9.931528,3.045832,14.786681,13.717858,9.155330,14.993815
2017-01-30,9.951361,3.069977,14.804817,13.730233,9.150478,14.993290
2017-01-31,9.925176,3.056673,14.800519,13.718724,9.029109,14.994299
2017-02-01,9.952123,3.107574,14.768780,13.728461,8.902112,14.993221
2017-02-02,9.956924,3.042657,14.790455,13.743763,9.141215,14.993900
2017-02-03,9.950533,2.935413,14.780432,13.764965,9.199074,14.994187
2017-02-04,9.930951,3.055717,14.791179,13.712578,9.174726,14.993320
2017-02-05,9.947071,3.022849,14.782776,13.750404,9.345220,14.993047
2017-02-06,9.979270,3.085986,14.769996,13.740990,9.096925,14.993575
2017-02-07,9.940000,3.064151,14.798443,13.748754,9.216336,14.993878
2017-02-08,9.911992,2.989813,14.782755,13.742549,9.196996,14.994088
2017-02-09,9.951846,3.100329,14.786063,13.742034,9.162258,14.994192
2017-02-10,9.944842,3.071667,14.804492,13.705978,8.950234,14.993781
2017-02-11,9.961484,3.107505,14.814076,13.754358,9.135209,14.994075
